#C=8795,gamma=0.029,epsilon=819,train_percent=0.75
DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1,T2,T7,T8,T9,T10,T11,T14,T17,E1
9/1/1997,2964.816,4881.341,1272.240,5130.926,1218.330,950.165,856.366,739.611,2184.149,1648.609,1470.445,1033.624,3163.406,294.126,295.691,295.635,297.317,295.242,294.445,293.802,294.223,297.478,3118.398
10/1/1997,2930.515,4948.214,578.016,5297.318,1380.174,1111.046,991.871,881.887,2191.496,1725.022,1565.576,1118.626,3133.534,294.199,295.725,295.673,297.306,295.334,294.522,293.901,294.299,297.619,3017.917
11/1/1997,3379.536,4675.018,543.715,5598.278,1578.347,1294.741,1181.503,1052.890,2223.460,1829.253,1653.251,1263.970,3091.673,294.158,295.645,295.607,297.204,295.400,294.520,293.924,294.260,297.756,3492.319
12/1/1997,3836.592,4848.682,614.304,5955.955,1782.292,1526.458,1436.578,1274.073,2153.814,1837.116,1720.180,1465.694,3081.385,293.960,295.392,295.351,296.913,295.449,294.459,293.857,294.091,297.888,4004.057
1/1/1998,5391.619,5646.845,487.469,6493.589,1925.459,1620.099,1621.366,1394.841,2157.828,1792.903,1877.801,1708.752,3243.928,293.793,295.190,295.215,296.756,295.339,294.290,293.757,293.993,297.766,4655.298
2/1/1998,6904.915,5673.802,310.694,7226.131,2005.212,1644.341,1729.400,1430.807,2146.447,1731.969,2046.209,1930.023,3439.522,293.658,295.023,295.109,296.629,295.233,294.138,293.652,293.875,297.594,5407.150
3/1/1998,7427.808,6911.568,430.618,7677.758,1967.664,1589.182,1697.675,1389.694,2228.109,1727.574,2065.510,1936.458,3643.769,293.491,294.871,294.963,296.504,294.967,293.914,293.406,293.620,297.152,6235.708
4/1/1998,7586.525,7267.795,543.715,7502.885,1796.659,1433.494,1572.509,1266.000,2138.349,1581.915,1951.598,1852.405,3539.667,293.455,294.859,294.903,296.482,294.637,293.711,293.149,293.449,296.738,6023.128
5/1/1998,7472.304,6915.283,992.736,7224.965,1610.344,1227.691,1367.384,1071.249,2201.866,1548.867,1975.601,1775.570,3572.063,293.324,294.797,294.811,296.439,295.071,293.981,293.475,293.717,297.354,6210.908
6/1/1998,7440.336,5710.003,1071.360,6893.030,1613.282,1183.777,1322.833,1025.744,2429.847,1665.389,2187.845,1800.675,3910.532,293.198,294.721,294.748,296.382,294.284,293.482,292.917,293.375,296.324,6024.203
7/1/1998,6262.963,5124.211,2042.496,6313.142,1782.194,1298.703,1363.102,1077.215,2862.500,1975.135,2443.452,1826.094,4441.739,293.076,294.614,294.637,296.258,293.961,293.257,292.693,293.237,295.949,6391.197
8/1/1998,5764.781,3495.744,1823.990,5581.344,1747.961,1336.307,1309.766,1093.558,2937.538,2109.524,2284.532,1660.476,4413.102,293.056,294.570,294.544,296.154,293.939,293.244,292.666,293.138,295.938,5835.781
9/1/1998,6202.310,2534.198,953.510,5130.926,1758.375,1373.377,1292.574,1104.349,2918.989,2184.583,2199.223,1560.636,4214.950,293.059,294.580,294.525,296.135,293.911,293.236,292.660,293.106,295.951,5164.592
