DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1 (°K),T2 (°K),T7 (°K),T8 (°K),T9 (°K),T10 (°K),T11 (°K),T14 (°K),T17 (°K)
5/1/2000,1869.523,0.436,0.049,0.512,0.885,0.925,1.156,1.109,0.241,0.218,0.537,0.968,0.208,-0.680,-0.710,-0.735,-0.771,-0.383,-0.401,-0.260,-0.279,-0.377
6/1/2000,1332.288,0.597,1.067,0.905,0.608,0.549,0.844,0.658,0.039,-0.161,0.601,0.965,0.443,-0.946,-0.942,-0.980,-0.960,-0.482,-0.759,-0.788,-0.968,-0.279
7/1/2000,1111.536,0.152,0.352,0.785,-0.045,-0.046,0.195,0.064,-0.266,-0.440,0.004,0.340,0.067,-0.718,-0.794,-0.763,-0.797,-0.340,-0.600,-0.567,-0.721,-0.313
8/1/2000,1427.587,0.219,0.059,0.206,-0.309,-0.350,-0.238,-0.317,-0.208,-0.392,-0.115,-0.074,0.017,-0.259,-0.385,-0.343,-0.409,-0.058,-0.176,-0.153,-0.239,-0.250
9/1/2000,1049.760,-0.171,0.479,-0.511,-0.174,-0.220,-0.150,-0.199,-0.002,-0.134,0.071,0.025,0.034,-0.057,-0.083,-0.081,-0.091,-0.236,-0.111,-0.150,-0.085,-0.471
10/1/2000,985.651,-0.158,-0.023,-0.353,-0.100,-0.264,-0.167,-0.242,0.243,0.088,0.340,0.140,0.295,0.130,0.205,0.134,0.193,-0.240,0.032,-0.181,-0.003,-0.519
11/1/2000,927.936,-0.113,-0.108,-0.112,-0.022,-0.125,0.010,0.001,-0.139,-0.102,0.310,0.179,-0.200,-0.157,0.091,-0.047,0.074,-0.902,-0.497,-0.709,-0.352,-0.900
12/1/2000,838.339,0.419,-0.185,-0.185,-0.219,-0.222,-0.419,-0.350,0.168,0.145,-0.244,-0.530,-0.041,-0.157,-0.022,-0.124,-0.048,-0.839,-0.591,-0.501,-0.325,-0.776
1/1/2001,650.851,-0.205,-0.304,-0.593,-1.075,-0.873,-1.016,-0.921,-0.519,-0.439,-1.066,-1.101,-0.677,-0.101,-0.073,-0.332,-0.235,-0.221,-0.177,-0.152,-0.486,-0.108
2/1/2001,479.002,0.050,-0.554,-0.643,-1.066,-0.834,-0.914,-0.803,-0.899,-0.696,-1.166,-1.070,-1.075,-0.075,-0.073,-0.255,-0.185,0.253,0.118,0.088,-0.163,0.398
3/1/2001,867.802,0.447,-0.782,-0.182,0.284,0.400,0.119,0.251,0.002,0.316,-0.109,-0.176,-0.399,0.217,0.164,0.262,0.229,0.393,0.217,0.284,0.145,0.364
4/1/2001,852.768,0.049,-0.265,0.169,0.566,0.693,0.635,0.752,0.167,0.343,0.069,0.239,-0.004,0.012,-0.100,-0.038,-0.129,0.182,0.008,-0.076,-0.260,0.154
5/1/2001,1087.430,1.067,-0.285,0.512,0.979,0.981,1.124,1.019,0.262,0.336,0.577,0.975,0.279,-0.279,-0.349,-0.352,-0.407,0.141,0.168,0.306,0.302,0.083
6/1/2001,1508.544,0.352,0.027,0.905,0.148,0.247,0.502,0.415,-0.518,-0.568,-0.079,0.453,-0.262,-1.151,-1.145,-1.177,-1.152,-0.495,-0.939,-0.898,-1.127,-0.135
7/1/2001,1333.843,0.059,0.587,0.785,-0.308,-0.250,-0.051,-0.161,-0.758,-0.775,-0.420,-0.035,-0.506,-0.723,-0.815,-0.742,-0.777,-0.125,-0.595,-0.375,-0.623,0.048
8/1/2001,1400.803,0.479,0.354,0.206,-0.579,-0.605,-0.430,-0.529,-0.621,-0.725,-0.463,-0.314,-0.421,-0.113,-0.264,-0.166,-0.220,0.205,-0.061,0.204,0.025,0.091
9/1/2001,876.096,-0.023,0.444,-0.511,-0.035,-0.218,-0.120,-0.244,0.291,0.083,0.308,0.172,0.254,0.329,0.288,0.325,0.301,-0.043,0.211,0.153,0.286,-0.406
10/1/2001,618.710,-0.108,-0.254,-0.353,-0.195,-0.360,-0.285,-0.370,0.290,0.129,0.166,-0.018,0.236,0.585,0.612,0.570,0.617,0.122,0.460,0.352,0.513,-0.291
11/1/2001,746.496,-0.185,-0.596,-0.112,0.205,0.120,0.125,0.148,0.255,0.325,0.277,0.124,0.021,0.137,0.259,0.171,0.222,-0.579,-0.210,-0.238,0.036,-0.686
12/1/2001,945.475,-0.304,-0.426,-0.185,0.678,0.501,0.255,0.310,0.879,0.786,0.783,0.189,0.932,-0.101,0.023,-0.008,0.039,-0.714,-0.443,-0.411,-0.174,-0.729
1/1/2002,621.389,-0.554,-0.162,-0.593,-0.652,-0.575,-0.780,-0.695,0.025,-0.080,-0.627,-0.882,-0.023,0.150,0.223,0.086,0.148,-0.277,-0.106,-0.048,-0.093,-0.228
2/1/2002,384.653,-0.782,-0.593,-0.643,-0.301,-0.156,-0.416,-0.271,0.001,0.139,-0.476,-0.633,-0.051,0.301,0.241,0.239,0.204,0.324,0.333,0.368,0.298,0.240
3/1/2002,661.565,-0.265,-0.908,-0.182,0.129,0.313,0.059,0.270,-0.006,0.335,-0.297,-0.276,-0.209,0.491,0.385,0.451,0.380,0.611,0.398,0.370,0.176,0.670
4/1/2002,997.920,-0.285,-0.539,0.169,0.517,0.669,0.673,0.736,-0.235,0.082,-0.048,0.291,-0.446,0.125,0.025,0.046,-0.028,0.482,0.259,0.072,-0.167,0.510
5/1/2002,1331.165,0.027,-0.092,0.512,0.764,1.011,1.003,1.077,-0.147,0.132,0.046,0.577,-0.149,-0.109,-0.172,-0.212,-0.258,0.594,0.533,0.716,0.630,0.564
6/1/2002,1806.624,0.587,0.351,0.905,0.075,0.218,0.349,0.300,-0.720,-0.619,-0.294,0.235,-0.691,-0.933,-0.892,-0.892,-0.821,-0.294,-0.732,-0.738,-0.955,0.193
7/1/2002,1526.688,0.354,0.983,0.785,-0.395,-0.379,-0.092,-0.259,-0.906,-0.911,-0.413,0.026,-0.560,-0.570,-0.635,-0.579,-0.589,0.127,-0.334,-0.199,-0.474,0.299
8/1/2002,1382.054,0.444,0.611,0.206,-0.524,-0.480,-0.341,-0.424,-0.797,-0.794,-0.600,-0.327,-0.599,-0.096,-0.249,-0.166,-0.228,0.363,0.042,0.188,-0.050,0.318
9/1/2002,746.496,-0.254,0.419,-0.511,-0.350,-0.428,-0.346,-0.420,-0.149,-0.257,-0.120,-0.164,-0.130,0.522,0.419,0.472,0.419,0.350,0.522,0.495,0.535,-0.090
10/1/2002,779.414,-0.596,-0.426,-0.353,-0.408,-0.511,-0.425,-0.474,0.233,0.049,-0.118,-0.254,0.208,0.597,0.632,0.594,0.650,0.298,0.565,0.393,0.521,-0.086
11/1/2002,852.768,-0.426,-0.383,-0.112,0.143,0.083,-0.012,0.005,0.578,0.507,0.269,-0.023,0.671,0.289,0.309,0.184,0.211,0.107,0.278,0.170,0.176,-0.095
12/1/2002,717.811,-0.162,-0.285,-0.185,-0.117,-0.189,-0.509,-0.456,0.972,0.724,0.156,-0.488,1.157,0.459,0.426,0.314,0.335,0.261,0.366,0.399,0.233,0.173
1/1/2003,409.795,-0.593,-0.465,-0.593,-1.240,-1.108,-1.125,-1.080,-0.782,-0.701,-1.216,-1.185,-1.020,0.689,0.661,0.456,0.509,0.813,0.896,0.884,0.602,0.912
2/1/2003,449.971,-0.908,-0.874,-0.643,-0.745,-0.503,-0.729,-0.564,-0.708,-0.373,-0.980,-0.946,-1.009,0.660,0.617,0.608,0.594,0.689,0.711,0.848,0.804,0.643
3/1/2003,621.389,-0.539,-0.821,-0.182,-0.008,0.180,-0.169,0.045,0.058,0.373,-0.410,-0.442,-0.334,0.796,0.682,0.797,0.711,0.678,0.522,0.648,0.565,0.731
4/1/2003,824.256,-0.092,-0.593,0.169,0.462,0.643,0.465,0.626,0.096,0.312,-0.109,0.046,-0.003,0.374,0.235,0.367,0.249,0.072,-0.142,-0.267,-0.413,0.159
5/1/2003,1304.381,0.351,-0.323,0.512,1.081,1.191,1.324,1.320,0.261,0.273,0.566,1.042,0.480,-0.428,-0.467,-0.479,-0.521,0.785,0.766,0.993,0.970,0.688
6/1/2003,964.224,0.983,0.315,0.905,0.356,0.466,0.601,0.577,-0.045,-0.125,0.217,0.585,0.221,-0.855,-0.861,-0.918,-0.921,-0.344,-0.587,-0.712,-0.893,-0.243
7/1/2003,1218.672,0.611,-0.137,0.785,-0.240,-0.322,-0.035,-0.226,-0.557,-0.703,-0.139,0.123,-0.258,-0.572,-0.649,-0.559,-0.597,-0.080,-0.450,-0.288,-0.462,0.062
8/1/2003,814.234,0.419,0.201,0.206,-0.337,-0.391,-0.238,-0.358,-0.396,-0.504,-0.116,-0.015,-0.180,0.072,-0.079,0.009,-0.084,0.259,0.176,0.248,0.179,0.023
