DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1 (°K),T2 (°K),T7 (°K),T8 (°K),T9 (°K),T10 (°K),T11 (°K),T14 (°K),T17 (°K)
8/1/2014,1443.658,0.326,0.939,0.206,-0.361,-0.310,-0.176,-0.249,-0.606,-0.669,-0.442,-0.182,-0.295,-0.039,-0.213,-0.105,-0.179,0.461,0.109,0.316,0.066,0.515
9/1/2014,886.464,-0.271,0.500,-0.511,-0.482,-0.582,-0.436,-0.531,-0.079,-0.297,-0.235,-0.238,0.010,0.686,0.574,0.656,0.614,0.521,0.637,0.701,0.728,0.181
10/1/2014,977.616,-0.358,-0.240,-0.353,0.145,-0.049,-0.025,-0.088,0.625,0.452,0.492,0.243,0.744,0.393,0.437,0.439,0.477,0.164,0.357,0.198,0.341,-0.046
11/1/2014,966.816,-0.289,-0.119,-0.112,0.361,0.159,0.091,0.065,0.760,0.704,0.823,0.398,0.816,0.345,0.487,0.479,0.550,-0.208,0.124,-0.010,0.311,-0.336
12/1/2014,865.123,0.095,-0.134,-0.185,-0.392,-0.338,-0.449,-0.358,0.188,0.182,-0.254,-0.497,0.468,0.582,0.571,0.430,0.451,0.303,0.510,0.449,0.381,0.025
1/1/2015,524.966,-0.482,-0.269,-0.593,-1.049,-0.848,-0.891,-0.795,-0.726,-0.563,-1.171,-1.052,-0.951,0.200,0.207,-0.036,0.059,0.684,0.593,0.178,-0.196,0.858
2/1/2015,805.594,-0.660,-0.721,-0.643,-0.589,-0.375,-0.522,-0.373,-0.415,-0.204,-0.801,-0.755,-0.552,0.484,0.438,0.398,0.399,0.566,0.515,0.629,0.424,0.579
3/1/2015,862.445,0.354,-0.348,-0.182,-0.089,0.030,-0.214,-0.072,0.002,0.236,-0.276,-0.387,-0.139,0.673,0.611,0.615,0.574,0.868,0.738,0.826,0.693,0.774
4/1/2015,977.184,-0.065,-0.272,0.169,0.345,0.534,0.325,0.511,-0.127,0.199,-0.229,-0.069,-0.226,0.575,0.431,0.531,0.429,0.617,0.263,0.476,0.203,0.895
5/1/2015,940.118,0.458,-0.120,0.512,1.449,1.830,1.633,1.884,-0.046,0.308,0.312,0.856,-0.032,0.053,-0.120,-0.075,-0.226,0.787,0.765,0.794,0.696,0.675
6/1/2015,1944.000,0.759,-0.169,0.905,0.042,0.277,0.365,0.357,-0.857,-0.711,-0.477,0.120,-0.674,-0.651,-0.694,-0.685,-0.662,0.267,-0.292,-0.243,-0.590,0.828
7/1/2015,1553.472,0.939,1.166,0.785,-0.272,-0.135,0.118,0.005,-1.131,-0.995,-0.527,0.091,-0.733,-0.408,-0.505,-0.413,-0.443,0.368,-0.208,0.029,-0.323,0.792
8/1/2015,1309.738,0.500,0.647,0.206,-0.699,-0.676,-0.464,-0.572,-1.008,-1.003,-0.732,-0.417,-0.704,0.257,0.112,0.246,0.196,0.840,0.451,0.646,0.397,0.909
9/1/2015,671.328,-0.240,0.322,-0.511,-0.821,-0.861,-0.678,-0.777,-0.656,-0.778,-0.620,-0.518,-0.510,0.895,0.758,0.826,0.820,1.181,1.118,1.097,0.943,0.869
10/1/2015,514.253,-0.119,-0.526,-0.353,-0.457,-0.559,-0.493,-0.521,0.153,-0.056,-0.242,-0.364,0.114,1.064,1.094,1.107,1.170,0.865,1.098,0.974,1.068,0.545
11/1/2015,660.960,-0.134,-0.735,-0.112,-0.183,-0.290,-0.259,-0.269,0.320,0.228,0.159,-0.061,0.356,0.834,0.910,0.865,0.923,0.565,0.829,0.596,0.743,0.332
12/1/2015,391.046,-0.269,-0.540,-0.185,-0.932,-0.759,-0.831,-0.735,-0.528,-0.411,-1.001,-0.952,-0.506,1.181,1.087,0.960,0.959,1.278,1.368,1.249,0.983,1.117
1/1/2016,275.875,-0.721,-0.899,-0.593,-0.896,-0.789,-0.916,-0.836,-0.250,-0.174,-1.003,-1.046,-0.848,0.839,0.886,0.792,0.888,1.084,1.075,0.932,0.733,1.383
2/1/2016,388.368,-0.348,-1.052,-0.643,-1.005,-0.826,-0.946,-0.845,-0.917,-0.634,-1.088,-1.059,-1.259,1.488,1.421,1.380,1.402,1.650,1.714,1.757,1.531,1.618
3/1/2016,736.560,-0.272,-0.903,-0.182,0.252,0.322,0.037,0.182,-0.237,0.095,-0.106,-0.177,-0.323,1.437,1.312,1.494,1.378,1.208,1.156,0.992,0.896,1.026
4/1/2016,1044.576,-0.120,-0.440,0.169,0.568,0.645,0.520,0.608,-0.115,0.176,0.091,0.323,-0.158,0.836,0.736,0.811,0.733,0.608,0.501,0.350,0.224,0.555
5/1/2016,1290.989,-0.169,-0.030,0.512,0.746,0.746,0.860,0.802,0.062,0.144,0.524,0.911,0.267,0.163,0.095,0.104,0.042,1.419,1.536,1.644,1.656,1.074
6/1/2016,1575.936,1.166,0.298,0.905,0.122,0.163,0.315,0.247,-0.264,-0.326,0.016,0.364,-0.088,-0.404,-0.418,-0.393,-0.390,0.104,-0.198,-0.150,-0.328,0.329
7/1/2016,1823.990,0.647,0.676,0.785,-0.568,-0.546,-0.279,-0.409,-0.887,-0.956,-0.521,-0.151,-0.599,-0.552,-0.586,-0.548,-0.531,0.137,-0.297,-0.169,-0.417,0.363
8/1/2016,1009.757,0.322,1.006,0.206,-0.511,-0.562,-0.414,-0.518,-0.457,-0.578,-0.381,-0.305,-0.296,0.458,0.293,0.383,0.308,0.658,0.597,0.728,0.615,0.321
9/1/2016,1021.248,-0.526,-0.076,-0.511,0.011,-0.134,-0.090,-0.160,0.347,0.157,0.266,0.128,0.227,0.707,0.624,0.703,0.626,0.404,0.683,0.611,0.771,-0.025
10/1/2016,798.163,-0.735,-0.061,-0.353,0.322,0.057,0.083,-0.001,0.632,0.487,0.877,0.505,0.650,0.302,0.502,0.517,0.605,-0.312,0.064,-0.138,0.267,-0.414
11/1/2016,959.040,-0.540,-0.358,-0.112,0.134,0.000,0.033,0.042,0.074,0.092,0.322,0.152,-0.074,0.242,0.442,0.422,0.497,-0.420,-0.030,-0.219,0.197,-0.506
12/1/2016,830.304,-0.899,-0.144,-0.185,0.160,0.076,-0.148,-0.082,0.679,0.658,0.243,-0.188,0.646,0.334,0.415,0.347,0.379,-0.390,-0.055,0.032,0.234,-0.542
